Atom,BasisSet,Energy
Kr,def2-tzvp,-1270.705218472961
He,cc-pcvqz,-2.834564742994
He,zora-def2-qzvpp,-2.834725900178
He,pc-2,-2.834231849531
Ne,zora-def2-tzvp,-93.211500413626
He,cc-pcvtz,-2.834078797304
He,def2-qzvpp,-2.834725883818
Ar,cc-pcvqz,-311.535186148022
Kr,ano-rcc-qzp,-1249.229288277905
He,def2-tzvp,-2.832561071771
He,ano-rcc-tzp,-2.834728214534
Ne,cc-pcvtz,-93.210594548615
Ne,zora-def2-svp,-93.178362864068
Ar,cc-pcv5z,-311.535411822624
Ne,def2-tzvp,-93.211690440075
Ne,ano-rcc-dzp,-93.191724326238
He,ano-rcc-qzp,-2.834786232949
Ne,ano-rcc-tzp,-93.191725453712
Kr,ano-rcc-dzp,-1249.209578473185
He,pc-3,-2.834810610234
Ar,pc-1,-311.518909621145
Ar,pc-2,-311.529026349741
Ne,cc-pcvqz,-93.212489055826
He,def2-svp,-2.826707771518
Ne,def2-qzvpp,-93.212634736215
Ar,pc-4,-311.530704570766
Kr,pc-1,-1270.627057403627
Ar,zora-def2-svp,-311.423004002284
Ne,cc-pcvdz,-93.209724009833
Ne,cc-pcv5z,-93.212701519766
Kr,cc-pcvdz,-1270.708244965706
Kr,pc-2,-1270.710533497304
He,ano-rcc-dzp,-2.834610735762
Ar,ano-rcc-tzp,-311.058765258528
Kr,zora-def2-svp,-1269.420695051376
Ar,ano-rcc-dzp,-311.058718405055
Kr,pc-3,-1270.712568740746
He,cc-pcvdz,-2.826706554175
Ne,def2-svp,-93.173803618185
Kr,ano-rcc-tzp,-1249.21814414868
Ar,def2-svp,-311.422371583816
Ar,cc-pcvtz,-311.534974707846
Kr,def2-qzvpp,-1270.725552053632
Kr,cc-pcvqz,-1270.724231223657
Kr,zora-def2-qzvpp,-1270.503201065852
He,zora-def2-svp,-2.826712605485
Ne,ano-rcc-qzp,-93.191871522128
Ne,pc-2,-93.209822117485
Ne,pc-1,-93.180705699078
Kr,cc-pcvtz,-1270.720554169318
Ar,pc-3,-311.530529256655
Ar,cc-pcvdz,-311.53249488856
He,cc-pcv5z,-2.834727602167
Ne,pc-4,-93.212758162715
He,pc-1,-2.827648189442
Ar,zora-def2-tzvp,-311.517167241444
Ne,pc-3,-93.212585823279
Ar,def2-qzvpp,-311.535297905185
Kr,zora-def2-tzvp,-1270.024815658647
He,pc-4,-2.834831097759
Kr,cc-pcv5z,-1270.725056919189
Ar,def2-tzvp,-311.525888925161
Ne,zora-def2-qzvpp,-93.212418732972
He,zora-def2-tzvp,-2.832560952378
Kr,pc-4,-1270.713194946691
Ar,zora-def2-qzvpp,-311.529444831302
Ar,ano-rcc-qzp,-311.058767680514
Kr,def2-svp,-1270.589476638184
