Atom,BasisSet,LightSpeed,Energy
Ar,ano-rcc-dzp,34.25899725,-349.532628672221
Ar,ano-rcc-dzp,68.5179945,-322.21283065371
Ar,ano-rcc-dzp,137.035989,-314.007932486948
Ar,ano-rcc-dzp,274.071978,-311.809773573069
Ar,ano-rcc-dzp,548.143956,-311.247468288048
Ar,ano-rcc-dzp,1096.287912,-311.105970305293
Ar,ano-rcc-dzp,2192.575824,-311.070535456264
Ar,ano-rcc-dzp,4385.151648,-311.061672923415
He,ano-rcc-dzp,34.25899725,-2.839068057611
He,ano-rcc-dzp,68.5179945,-2.835725072703
He,ano-rcc-dzp,137.035989,-2.834889321245
He,ano-rcc-dzp,274.071978,-2.834680382225
He,ano-rcc-dzp,548.143956,-2.834628147384
He,ano-rcc-dzp,1096.287912,-2.834615088668
He,ano-rcc-dzp,2192.575824,-2.834611823989
He,ano-rcc-dzp,4385.151648,-2.834611007819
Kr,ano-rcc-dzp,34.25899725,-1783.751268807429
Kr,ano-rcc-dzp,68.5179945,-1450.606781630369
Kr,ano-rcc-dzp,137.035989,-1311.711372996902
Kr,ano-rcc-dzp,274.071978,-1266.824625809059
Kr,ano-rcc-dzp,548.143956,-1253.885871537263
Kr,ano-rcc-dzp,1096.287912,-1250.405932241178
Kr,ano-rcc-dzp,2192.575824,-1249.510742069674
Kr,ano-rcc-dzp,4385.151648,-1249.285007267111
Ne,ano-rcc-dzp,34.25899725,-96.979000460445
Ne,ano-rcc-dzp,68.5179945,-94.188237561362
Ne,ano-rcc-dzp,137.035989,-93.444832853026
Ne,ano-rcc-dzp,274.071978,-93.255280136404
Ne,ano-rcc-dzp,548.143956,-93.207631378107
Ne,ano-rcc-dzp,1096.287912,-93.195702232642
Ne,ano-rcc-dzp,2192.575824,-93.192718874503
Ne,ano-rcc-dzp,4385.151648,-93.191972967786
Ar,ano-rcc-qzp,34.25899725,-349.908891509472
Ar,ano-rcc-qzp,68.5179945,-322.248373164708
Ar,ano-rcc-qzp,137.035989,-314.010904639322
Ar,ano-rcc-qzp,274.071978,-311.810114994681
Ar,ano-rcc-qzp,548.143956,-311.247561750806
Ar,ano-rcc-qzp,1096.287912,-311.106028798817
Ar,ano-rcc-qzp,2192.575824,-311.070586921524
Ar,ano-rcc-qzp,4385.151648,-311.061722739147
He,ano-rcc-qzp,34.25899725,-2.839230443535
He,ano-rcc-qzp,68.5179945,-2.835896695906
He,ano-rcc-qzp,137.035989,-2.835063812614
He,ano-rcc-qzp,274.071978,-2.834855625624
He,ano-rcc-qzp,548.143956,-2.834803580978
He,ano-rcc-qzp,1096.287912,-2.834790569948
He,ano-rcc-qzp,2192.575824,-2.834787317198
He,ano-rcc-qzp,4385.151648,-2.834786504012
Kr,ano-rcc-qzp,34.25899725,-1785.521285876546
Kr,ano-rcc-qzp,68.5179945,-1450.834944703285
Kr,ano-rcc-qzp,137.035989,-1311.714979158634
Kr,ano-rcc-qzp,274.071978,-1266.831577567189
Kr,ano-rcc-qzp,548.143956,-1253.901560012884
Kr,ano-rcc-qzp,1096.287912,-1250.424570294846
Kr,ano-rcc-qzp,2192.575824,-1249.53017932568
Kr,ano-rcc-qzp,4385.151648,-1249.30464863674
Ne,ano-rcc-qzp,34.25899725,-97.038945052872
Ne,ano-rcc-qzp,68.5179945,-94.191614004127
Ne,ano-rcc-qzp,137.035989,-93.444946335061
Ne,ano-rcc-qzp,274.071978,-93.255364123738
Ne,ano-rcc-qzp,548.143956,-93.207759309121
Ne,ano-rcc-qzp,1096.287912,-93.195844395258
Ne,ano-rcc-qzp,2192.575824,-93.192864798499
Ne,ano-rcc-qzp,4385.151648,-93.192119844855
Ar,ano-rcc-tzp,34.25899725,-349.679909591929
Ar,ano-rcc-tzp,68.5179945,-322.22737475428
Ar,ano-rcc-tzp,137.035989,-314.009319883752
Ar,ano-rcc-tzp,274.071978,-311.809986916379
Ar,ano-rcc-tzp,548.143956,-311.247545667549
Ar,ano-rcc-tzp,1096.287912,-311.106024086856
Ar,ano-rcc-tzp,2192.575824,-311.070583997637
Ar,ano-rcc-tzp,4385.151648,-311.061720196102
He,ano-rcc-tzp,34.25899725,-2.839156029807
He,ano-rcc-tzp,68.5179945,-2.835834768971
He,ano-rcc-tzp,137.035989,-2.835004828962
He,ano-rcc-tzp,274.071978,-2.834797366642
He,ano-rcc-tzp,548.143956,-2.834745502468
He,ano-rcc-tzp,1096.287912,-2.834732536512
He,ano-rcc-tzp,2192.575824,-2.834729295028
He,ano-rcc-tzp,4385.151648,-2.834728484658
Kr,ano-rcc-tzp,34.25899725,-1784.530589307014
Kr,ano-rcc-tzp,68.5179945,-1450.707636416929
Kr,ano-rcc-tzp,137.035989,-1311.713015691315
Kr,ano-rcc-tzp,274.071978,-1266.827616232447
Kr,ano-rcc-tzp,548.143956,-1253.892677200487
Kr,ano-rcc-tzp,1096.287912,-1250.41402868568
Kr,ano-rcc-tzp,2192.575824,-1249.519188408843
Kr,ano-rcc-tzp,4385.151648,-1249.293542977476
Ne,ano-rcc-tzp,34.25899725,-97.008669629648
Ne,ano-rcc-tzp,68.5179945,-94.190257897826
