Molecule,BasisSet,Energy
CrCO6,cc-pvdz,-1730.235400391763
H2O,def2-tzvp,-76.011269465299
CrCO6,def2-svp,-1729.483189971069
CO2,def2-tzvp,-187.546245082702
CO2,zora-def2-svp,-187.310155808409
H2O,pc-1,-75.956914558311
CH3BH2,def2-svp,-65.229367382275
PH2OH,pc-3,-418.359359818074
CO2,cc-pvtz,-187.538514552951
PH2OH,cc-pvdz,-418.264027132439
CO2,pc-3,-187.561460315204
PH2OH,cc-pcv5z,-418.372872050629
CrCO6,cc-pv5z,-1730.59598813062
CO2,cc-pcvqz,-187.558335615482
CO2,cc-pv5z,-187.560362223579
H2O,cc-pcvqz,-76.020172371378
CO2,pc-2,-187.550338288403
CO2,def2-svp,-187.319134715005
CH3BH2,pc-4,-65.314015512208
CH3BH2,zora-def2-qzvpp,-65.313129163001
PH2OH,cc-pcvdz,-418.273351732278
CH3BH2,pc-1,-65.268546263285
CrCO6,def2-tzvp,-1730.469315088862
H2O,cc-pvtz,-76.008668060765
H2O,zora-def2-tzvp,-76.012885634047
CO2,cc-pcv5z,-187.561690859337
H2O,zora-def2-svp,-75.905071123213
CO2,zora-def2-tzvp,-187.550252674998
H2O,def2-svp,-75.904878491553
H2O,pc-4,-76.024375154395
CrCO6,pc-2,-1730.556020791279
CrCO6,zora-def2-svp,-1729.92158537959
CH3BH2,cc-pcv5z,-65.313919099373
PH2OH,cc-pcvtz,-418.345010880678
CH3BH2,def2-qzvpp,-65.313092905433
PH2OH,def2-qzvpp,-418.367885618519
CrCO6,pc-1,-1730.043995496058
PH2OH,cc-pvqz,-418.341540769783
H2O,cc-pv5z,-76.023095419989
CrCO6,zora-def2-tzvp,-1730.939775012203
CH3BH2,cc-pvtz,-65.306543911669
CrCO6,cc-pvqz,-1730.550408846033
CrCO6,cc-pcv5z,
CH3BH2,cc-pcvqz,-65.31293193128
CH3BH2,cc-pcvtz,-65.308531326648
H2O,def2-qzvpp,-76.022710044255
CrCO6,pc-4,-1730.643904342798
H2O,pc-3,-76.024095324496
H2O,zora-def2-qzvpp,-76.022801391787
CO2,cc-pvdz,-187.469862915406
CH3BH2,cc-pvqz,-65.311517074397
CH3BH2,pc-3,-65.31385273707
CH3BH2,cc-pvdz,-65.275133360795
PH2OH,def2-svp,-418.088472103081
CH3BH2,zora-def2-svp,-65.234806153411
CrCO6,cc-pvtz,-1730.478964539941
PH2OH,cc-pvtz,-418.325681354001
CH3BH2,cc-pv5z,-65.313581800143
CH3BH2,cc-pcvdz,-65.27966580735
CrCO6,cc-pcvqz,
PH2OH,def2-tzvp,-418.328615174202
CH3BH2,zora-def2-tzvp,-65.307423416828
CO2,cc-pcvdz,-187.477052073079
H2O,cc-pvdz,-75.965693535727
CO2,pc-1,-187.434005241491
H2O,cc-pcvtz,-76.010351981691
H2O,cc-pvqz,-76.01876627181
PH2OH,zora-def2-svp,-418.1215746027
PH2OH,zora-def2-qzvpp,-418.374222886313
H2O,cc-pcvdz,-75.968316221117
H2O,pc-2,-76.018230855409
CrCO6,def2-qzvpp,-1730.855471943538
CrCO6,cc-pcvdz,
PH2OH,cc-pcvqz,-418.366670707733
PH2OH,cc-pv5z,-418.359556200838
PH2OH,zora-def2-tzvp,-418.349808398611
CO2,def2-qzvpp,-187.559923269252
PH2OH,pc-1,-418.265361129595
PH2OH,pc-4,-418.36082776356
CO2,pc-4,-187.561922087101
CO2,zora-def2-qzvpp,-187.560135808954
CrCO6,zora-def2-qzvpp,-1731.011265451591
CO2,cc-pvqz,-187.554513387018
CrCO6,pc-3,-1730.615367973862
PH2OH,pc-2,-418.347858781493
CrCO6,cc-pcvtz,
H2O,cc-pcv5z,-76.023596839463
CO2,cc-pcvtz,-187.543673534874
CH3BH2,def2-tzvp,-65.30534187209
CH3BH2,pc-2,-65.30918321825
