Atom,GTOBasis,Energy_GTO,Energy_MW8
Rb,ugbs,-3013.625463933704,-3013.635193263933
Rb,ano-r3,-3009.870061149313,-3013.635193263933
Rb,ano-rcc-vqzp,-3007.729511185082,-3013.635193263933
Rb,sapporo-qzp-2012-diffuse,-3007.094080238607,-3013.635193263933
Rb,sarc-zora-tzvpp,-3013.5112333477,-3013.635193263933
Sr,ugbs,-3215.775118214542,-3215.7852970111876
Sr,ano-r3,-3211.553152686812,-3215.7852970111876
Sr,ano-rcc-vqzp,-3209.177754641228,-3215.7852970111876
Sr,sapporo-qzp-2012-diffuse,-3208.138564186806,-3215.7852970111876
Sr,sarc-zora-tzvpp,-3215.646791975482,-3215.7852970111876
Y,ugbs,-3425.689513804974,-3425.7021986141867
Y,ano-r3,-3421.044085201534,-3425.7021986141867
Y,ano-rcc-vqzp,-3418.33919188655,-3425.7021986141867
Y,sapporo-qzp-2012-diffuse,-3416.897303494403,-3425.7021986141867
Y,sarc-zora-tzvpp,-3425.546064851498,-3425.7021986141867
Zr,ugbs,-3643.618615270257,-3643.6343461366946
Zr,ano-r3,-3638.344751856366,-3643.6343461366946
Zr,ano-rcc-vqzp,-3635.454127245676,-3643.6343461366946
Zr,sapporo-qzp-2012-diffuse,-3633.414517516973,-3643.6343461366946
Zr,sarc-zora-tzvpp,-3643.458423317958,-3643.6343461366946
Nb,ugbs,-3869.739508814506,-3869.7494369445667
Nb,ano-r3,-3863.863589405232,-3869.7494369445667
Nb,ano-rcc-vqzp,-3860.689005048041,-3869.7494369445667
Nb,sapporo-qzp-2012-diffuse,-3857.932441772636,-3869.7494369445667
Nb,sarc-zora-tzvpp,-3869.552729805369,-3869.7494369445667
Mo,ugbs,-4104.171147328166,-4104.181475786854
Mo,ano-r3,-4097.647058453536,-4104.181475786854
Mo,ano-rcc-vqzp,-4094.173815305377,-4104.181475786854
Mo,sapporo-qzp-2012-diffuse,-4090.557941145332,-4104.181475786854
Mo,sarc-zora-tzvpp,-4103.960124619167,-4104.181475786854
Tc,ugbs,-4346.946443139351,-4346.95293236588
Tc,ano-r3,-4339.718052309643,-4346.95293236588
Tc,ano-rcc-vqzp,-4335.932757133431,-4346.95293236588
Tc,sapporo-qzp-2012-diffuse,-4331.309997586613,-4346.95293236588
Tc,sarc-zora-tzvpp,-4346.703740469568,-4346.95293236588
Ru,ugbs,-4598.30170973324,-4598.318077425369
Ru,ano-r3,-4590.329198554602,-4598.318077425369
Ru,ano-rcc-vqzp,-4586.211095254149,-4598.318077425369
Ru,sapporo-qzp-2012-diffuse,-4580.393848671336,-4598.318077425369
Ru,sarc-zora-tzvpp,-4598.037889388421,-4598.318077425369
Rh,ugbs,-4858.397334546354,-4858.409347236664
Rh,ano-r3,-4849.605429449619,-4858.409347236664
Rh,ano-rcc-vqzp,-4845.144752396875,-4858.409347236664
Rh,sapporo-qzp-2012-diffuse,-4837.942102750718,-4858.409347236664
Rh,sarc-zora-tzvpp,-4858.095137608322,-4858.409347236664
Pd,ugbs,-5127.395055104654,-5127.406060275441
Pd,ano-r3,-5117.920492136894,-5127.406060275441
Pd,ano-rcc-vqzp,-5112.908410499789,-5127.406060275441
Pd,sapporo-qzp-2012-diffuse,-5104.093367852666,-5127.406060275441
Pd,sarc-zora-tzvpp,-5127.05439804104,-5127.406060275441
Ag,ugbs,-5405.361576588568,-5405.386340802728
Ag,ano-r3,-5394.763520645878,-5405.386340802728
Ag,ano-rcc-vqzp,-5389.572343274321,-5405.386340802728
Ag,sapporo-qzp-2012-diffuse,-5378.924674668036,-5405.386340802728
Ag,sarc-zora-tzvpp,-5404.992999964212,-5405.386340802728
Cd,ugbs,-5692.389498619921,-5692.406262056246
